utterance,intent
"""Hi there""",greeting
"""How are you""",greeting
"""Is anyone there?""",greeting
"""Hello""",greeting
"""Good day""",greeting
"""Bye""",goodbye
"""See you later""",goodbye
"""Goodbye""",goodbye
"""Nice chatting to you, bye""",goodbye
"""Till next time""",goodbye
"""Thanks""",thanks
"""Thank you""",thanks
"""That's helpful""",thanks
"""Awesome, thanks""",thanks
"""Thanks for helping me""",thanks
"""How you could help me?""",options
"""What you can do?""",options
"""What help you provide?""",options
"""How you can be helpful?""",options
"""What support is offered""",options
"""How to check Adverse drug reaction?""",adverse_drug
"""Open adverse drugs module""",adverse_drug
"""Give me a list of drugs causing adverse behavior""",adverse_drug
"""List all drugs suitable for patient with adverse reaction""",adverse_drug
"""Which drugs dont have adverse reaction?""",adverse_drug
"""Open blood pressure module""",blood_pressure
"""Task related to blood pressure""",blood_pressure
"""Blood pressure data entry""",blood_pressure
"""I want to log blood pressure results""",blood_pressure
"""Blood pressure data management""",blood_pressure
"""I want to search for blood pressure result history""",blood_pressure_search
"""Blood pressure for patient""",blood_pressure_search
"""Load patient blood pressure result""",blood_pressure_search
"""Show blood pressure results for patient""",blood_pressure_search
"""Find blood pressure results by ID""",blood_pressure_search
"""Find me a pharmacy""",pharmacy_search
"""Find pharmacy""",pharmacy_search
"""List of pharmacies nearby""",pharmacy_search
"""Locate pharmacy""",pharmacy_search
"""Search pharmacy""",pharmacy_search
"""Lookup for hospital""",hospital_search
"""Searching for hospital to transfer patient""",hospital_search
"""I want to search hospital data""",hospital_search
"""Hospital lookup for patient""",hospital_search
"""Looking up hospital details""",hospital_search
"""Hello!""",greeting
"""Hi there!""",greeting
"""Hey!""",greeting
"""Good morning!""",greeting
"""Good afternoon!""",greeting
"""Good evening!""",greeting
"""Howdy!""",greeting
"""Greetings!""",greeting
"""What's up?""",greeting
"""How's it going?""",greeting
"""Yo!""",greeting
"""Hiya!""",greeting
"""Salutations!""",greeting
"""Well met!""",greeting
"""Hey, how are you?""",greeting
"""Hi, how have you been?""",greeting
"""Nice to see you!""",greeting
"""Welcome!""",greeting
"""Hey, good to see you!""",greeting
"""How are you doing today?""",greeting
"""Goodbye!""",goodbye
"""Bye!""",goodbye
"""See you later!""",goodbye
"""See ya!""",goodbye
"""Take care!""",goodbye
"""Farewell!""",goodbye
"""Have a good one!""",goodbye
"""Catch you later!""",goodbye
"""Until next time!""",goodbye
"""I must be going.""",goodbye
"""So long!""",goodbye
"""Adios!""",goodbye
"""Bye-bye!""",goodbye
"""Have a great day!""",goodbye
"""See you soon!""",goodbye
"""Take it easy!""",goodbye
"""See you around!""",goodbye
"""Goodnight!""",goodbye
"""Have a good one!""",goodbye
"""Peace out!""",goodbye
"""Thank you!""",thanks
"""Thanks a lot!""",thanks
"""I really appreciate it.""",thanks
"""I'm grateful.""",thanks
"""Thank you so much!""",thanks
"""Thanks a bunch!""",thanks
"""I can't thank you enough.""",thanks
"""Many thanks!""",thanks
"""I owe you one.""",thanks
"""Much obliged!""",thanks
